Gene stable ID	Gene stable ID version	NCBI gene (formerly Entrezgene) ID	HGNC symbol
ENSG00000198888	ENSG00000198888.2	4535	MT-ND1
ENSG00000198763	ENSG00000198763.3	4536	MT-ND2
ENSG00000198804	ENSG00000198804.2	4512	MT-CO1
ENSG00000198712	ENSG00000198712.1	4513	MT-CO2
ENSG00000228253	ENSG00000228253.1	4509	MT-ATP8
ENSG00000198899	ENSG00000198899.2	4508	MT-ATP6
ENSG00000198938	ENSG00000198938.2	4514	MT-CO3
ENSG00000198840	ENSG00000198840.2	4537	MT-ND3
ENSG00000212907	ENSG00000212907.2	4539	MT-ND4L
ENSG00000198886	ENSG00000198886.2	4538	MT-ND4
ENSG00000198786	ENSG00000198786.2	4540	MT-ND5
ENSG00000198695	ENSG00000198695.2	4541	MT-ND6
ENSG00000198727	ENSG00000198727.2	4519	MT-CYB
ENSG00000271254	ENSG00000271254.7	102724250	
ENSG00000280663	ENSG00000280663.4	55251	PCMTD2
ENSG00000262826	ENSG00000262826.5	65123	INTS3
ENSG00000278704	ENSG00000278704.1		
ENSG00000273947	ENSG00000273947.5	3804	KIR2DL3
ENSG00000276779	ENSG00000276779.1	3805	KIR2DL4
ENSG00000276779	ENSG00000276779.1	124900568	KIR2DL4
ENSG00000273735	ENSG00000273735.4	3812	KIR3DL2
ENSG00000275717	ENSG00000275717.5	3811	KIR3DL1
ENSG00000276379	ENSG00000276379.1	3811	KIR3DL1
ENSG00000276433	ENSG00000276433.1	115653	KIR3DL3
ENSG00000274692	ENSG00000274692.1	3802	KIR2DL1
ENSG00000277484	ENSG00000277484.5	3804	KIR2DL3
ENSG00000275062	ENSG00000275062.1	115653	KIR3DL3
ENSG00000277554	ENSG00000277554.5	3804	KIR2DL3
ENSG00000277272	ENSG00000277272.5	3811	KIR3DL1
ENSG00000277044	ENSG00000277044.3	4987	OPRL1
ENSG00000278074	ENSG00000278074.1	3805	KIR2DL4
ENSG00000278074	ENSG00000278074.1	124900568	KIR2DL4
ENSG00000277339	ENSG00000277339.2	2832	NPBWR2
ENSG00000274807	ENSG00000274807.4	3809	KIR2DS4
ENSG00000274714	ENSG00000274714.1	3809	KIR2DS4
ENSG00000276876	ENSG00000276876.4	4661	MYT1
ENSG00000277334	ENSG00000277334.4	9437	NCR1
ENSG00000276885	ENSG00000276885.1	3809	KIR2DS4
ENSG00000273575	ENSG00000273575.4	3805	KIR2DL4
ENSG00000273575	ENSG00000273575.4	124900568	KIR2DL4
ENSG00000275786	ENSG00000275786.5	3811	KIR3DL1
ENSG00000276518	ENSG00000276518.1		KIR3DP1
ENSG00000275237	ENSG00000275237.4	3805	KIR2DL4
ENSG00000275237	ENSG00000275237.4	124900568	KIR2DL4
ENSG00000278152	ENSG00000278152.2	100132285	KIR2DS2
ENSG00000278152	ENSG00000278152.2	124900573	KIR2DS2
ENSG00000278152	ENSG00000278152.2	124900575	KIR2DS2
ENSG00000277982	ENSG00000277982.4	3812	KIR3DL2
ENSG00000273510	ENSG00000273510.1	3802	KIR2DL1
ENSG00000274324	ENSG00000274324.1	3809	KIR2DS4
ENSG00000276423	ENSG00000276423.6	3811	KIR3DL1
ENSG00000276534	ENSG00000276534.5	3813	KIR3DS1
ENSG00000276820	ENSG00000276820.1	3802	KIR2DL1
ENSG00000278731	ENSG00000278731.5	3803	KIR2DL2
ENSG00000278306	ENSG00000278306.1	3808	KIR2DS3
ENSG00000277620	ENSG00000277620.1	115653	KIR3DL3
ENSG00000275732	ENSG00000275732.4	3805	KIR2DL4
ENSG00000275732	ENSG00000275732.4	124900568	KIR2DL4
ENSG00000274948	ENSG00000274948.5	3811	KIR3DL1
ENSG00000276858	ENSG00000276858.4	2204	FCAR
ENSG00000276328	ENSG00000276328.1	115653	KIR3DL3
ENSG00000274696	ENSG00000274696.2	115653	KIR3DL3
ENSG00000275407	ENSG00000275407.1	3803	KIR2DL2
ENSG00000278805	ENSG00000278805.1	3802	KIR2DL1
ENSG00000277345	ENSG00000277345.1	3809	KIR2DS4
ENSG00000275914	ENSG00000275914.5	3803	KIR2DL2
ENSG00000276424	ENSG00000276424.4	3812	KIR3DL2
ENSG00000277616	ENSG00000277616.1	3802	KIR2DL1
ENSG00000273526	ENSG00000273526.1	3809	KIR2DS4
ENSG00000278207	ENSG00000278207.1	3802	KIR2DL1
ENSG00000275433	ENSG00000275433.1	115653	KIR3DL3
ENSG00000277650	ENSG00000277650.1	3810	KIR2DS5
ENSG00000273738	ENSG00000273738.4	2204	FCAR
ENSG00000277725	ENSG00000277725.5	3803	KIR2DL2
ENSG00000273661	ENSG00000273661.5	3803	KIR2DL2
ENSG00000276044	ENSG00000276044.4	3805	KIR2DL4
ENSG00000276044	ENSG00000276044.4	124900568	KIR2DL4
ENSG00000274722	ENSG00000274722.4	3812	KIR3DL2
ENSG00000275018	ENSG00000275018.6		
ENSG00000274676	ENSG00000274676.1	57292	KIR2DL5A
ENSG00000274676	ENSG00000274676.1	124900569	KIR2DL5A
ENSG00000274406	ENSG00000274406.1	3809	KIR2DS4
ENSG00000276501	ENSG00000276501.5	3811	KIR3DL1
ENSG00000277355	ENSG00000277355.4	3805	KIR2DL4
ENSG00000277355	ENSG00000277355.4	124900568	KIR2DL4
ENSG00000275276	ENSG00000275276.1	3802	KIR2DL1
ENSG00000278606	ENSG00000278606.4	3805	KIR2DL4
ENSG00000278606	ENSG00000278606.4	124900568	KIR2DL4
ENSG00000274782	ENSG00000274782.1	3802	KIR2DL1
ENSG00000275848	ENSG00000275848.1	3805	KIR2DL4
ENSG00000275848	ENSG00000275848.1	124900568	KIR2DL4
ENSG00000276676	ENSG00000276676.5	3810	KIR2DS5
ENSG00000276258	ENSG00000276258.1	100132285	KIR2DS2
ENSG00000276258	ENSG00000276258.1	124900575	KIR2DS2
ENSG00000281935	ENSG00000281935.1	196385	DNAH10
ENSG00000275946	ENSG00000275946.5	553128	KIR2DL5B
ENSG00000275946	ENSG00000275946.5	124900574	KIR2DL5B
ENSG00000274193	ENSG00000274193.4	3805	KIR2DL4
ENSG00000274193	ENSG00000274193.4	124900568	KIR2DL4
ENSG00000275008	ENSG00000275008.1	3804	KIR2DL3
ENSG00000274189	ENSG00000274189.4	3805	KIR2DL4
ENSG00000274189	ENSG00000274189.4	124900568	KIR2DL4
ENSG00000275599	ENSG00000275599.1	3808	KIR2DS3
ENSG00000273775	ENSG00000273775.5	3811	KIR3DL1
ENSG00000274830	ENSG00000274830.5	3804	KIR2DL3
ENSG00000274283	ENSG00000274283.5	3813	KIR3DS1
ENSG00000274955	ENSG00000274955.4	3805	KIR2DL4
ENSG00000274955	ENSG00000274955.4	124900568	KIR2DL4
ENSG00000277078	ENSG00000277078.1	3809	KIR2DS4
ENSG00000276004	ENSG00000276004.4	3812	KIR3DL2
ENSG00000275659	ENSG00000275659.5	3811	KIR3DL1
ENSG00000276084	ENSG00000276084.1	115653	KIR3DL3
ENSG00000276459	ENSG00000276459.5	3804	KIR2DL3
ENSG00000276329	ENSG00000276329.5	3811	KIR3DL1
ENSG00000278248	ENSG00000278248.1	3802	KIR2DL1
ENSG00000273518	ENSG00000273518.5	3811	KIR3DL1
ENSG00000275080	ENSG00000275080.5	3802	KIR2DL1
ENSG00000277964	ENSG00000277964.1	3805	KIR2DL4
ENSG00000277964	ENSG00000277964.1	124900568	KIR2DL4
ENSG00000276985	ENSG00000276985.4	2204	FCAR
ENSG00000274518	ENSG00000274518.1	100132285	KIR2DS2
ENSG00000274518	ENSG00000274518.1	124900575	KIR2DS2
ENSG00000275436	ENSG00000275436.5	553128	KIR2DL5B
ENSG00000274480	ENSG00000274480.1	115653	KIR3DL3
ENSG00000274945	ENSG00000274945.4	3805	KIR2DL4
ENSG00000274945	ENSG00000274945.4	124900568	KIR2DL4
ENSG00000275351	ENSG00000275351.1	3809	KIR2DS4
ENSG00000275035	ENSG00000275035.2	80212	CCDC92
ENSG00000277833	ENSG00000277833.4	3802	KIR2DL1
ENSG00000276357	ENSG00000276357.4	3812	KIR3DL2
ENSG00000276806	ENSG00000276806.1	115653	KIR3DL3
ENSG00000278369	ENSG00000278369.1	3804	KIR2DL3
ENSG00000261992	ENSG00000261992.2	57459	GATAD2B
ENSG00000275699	ENSG00000275699.4	3805	KIR2DL4
ENSG00000275699	ENSG00000275699.4	124900568	KIR2DL4
ENSG00000274920	ENSG00000274920.5	3811	KIR3DL1
ENSG00000273887	ENSG00000273887.1	3804	KIR2DL3
ENSG00000275452	ENSG00000275452.2	100132285	KIR2DS2
ENSG00000275452	ENSG00000275452.2	124900575	KIR2DS2
ENSG00000276450	ENSG00000276450.1	9437	NCR1
ENSG00000275970	ENSG00000275970.4	2204	FCAR
ENSG00000274707	ENSG00000274707.5	553128	KIR2DL5B
ENSG00000274724	ENSG00000274724.1	115653	KIR3DL3
ENSG00000274610	ENSG00000274610.1		KIR3DP1
ENSG00000263163	ENSG00000263163.5	11000	SLC27A3
ENSG00000274243	ENSG00000274243.5	3810	KIR2DS5
ENSG00000276590	ENSG00000276590.5	3804	KIR2DL3
ENSG00000275269	ENSG00000275269.4	2204	FCAR
ENSG00000278414	ENSG00000278414.5	553128	KIR2DL5B
ENSG00000275750	ENSG00000275750.1	3802	KIR2DL1
ENSG00000278327	ENSG00000278327.5	3804	KIR2DL3
ENSG00000276425	ENSG00000276425.1	100132285	KIR2DS2
ENSG00000276425	ENSG00000276425.1	124900575	KIR2DS2
ENSG00000275421	ENSG00000275421.1	3806	KIR2DS1
ENSG00000275136	ENSG00000275136.4	2204	FCAR
ENSG00000278304	ENSG00000278304.1	3806	KIR2DS1
ENSG00000275172	ENSG00000275172.1	115653	KIR3DL3
ENSG00000278780	ENSG00000278780.4	80264	ZNF430
ENSG00000273517	ENSG00000273517.1	3806	KIR2DS1
ENSG00000275521	ENSG00000275521.4	9437	NCR1
ENSG00000276686	ENSG00000276686.1	57292	KIR2DL5A
ENSG00000276686	ENSG00000276686.1	124900572	KIR2DL5A
ENSG00000274556	ENSG00000274556.1	115653	KIR3DL3
ENSG00000278474	ENSG00000278474.4	3812	KIR3DL2
ENSG00000277317	ENSG00000277317.5	3804	KIR2DL3
ENSG00000274402	ENSG00000274402.1	3804	KIR2DL3
ENSG00000276930	ENSG00000276930.1	115653	KIR3DL3
ENSG00000278201	ENSG00000278201.4	3805	KIR2DL4
ENSG00000278201	ENSG00000278201.4	124900568	KIR2DL4
ENSG00000278710	ENSG00000278710.4	3812	KIR3DL2
ENSG00000278091	ENSG00000278091.4	7639	ZNF85
ENSG00000275486	ENSG00000275486.5	3811	KIR3DL1
ENSG00000278442	ENSG00000278442.4	3812	KIR3DL2
ENSG00000277193	ENSG00000277193.1	3808	KIR2DS3
ENSG00000274639	ENSG00000274639.1	115653	KIR3DL3
ENSG00000276392	ENSG00000276392.1	57292	KIR2DL5A
ENSG00000273578	ENSG00000273578.1	3803	KIR2DL2
ENSG00000278079	ENSG00000278079.6	3811	KIR3DL1
ENSG00000273794	ENSG00000273794.4	3802	KIR2DL1
ENSG00000269823	ENSG00000269823.1		
ENSG00000278850	ENSG00000278850.4	3812	KIR3DL2
ENSG00000276498	ENSG00000276498.5	3813	KIR3DS1
ENSG00000275288	ENSG00000275288.6	3811	KIR3DL1
ENSG00000277630	ENSG00000277630.4	100288966	
ENSG00000275050	ENSG00000275050.4	7617	ZNF66
ENSG00000275262	ENSG00000275262.4	3812	KIR3DL2
ENSG00000276154	ENSG00000276154.1	3809	KIR2DS4
ENSG00000277596	ENSG00000277596.1	115653	KIR3DL3
ENSG00000278856	ENSG00000278856.5	3811	KIR3DL1
ENSG00000274563	ENSG00000274563.1	3810	KIR2DS5
ENSG00000275083	ENSG00000275083.4	3812	KIR3DL2
ENSG00000277657	ENSG00000277657.1	3808	KIR2DS3
ENSG00000275513	ENSG00000275513.1	115653	KIR3DL3
ENSG00000274108	ENSG00000274108.5	3804	KIR2DL3
