CNS_chr,CNS_start,CNS_end,CNS_name,overlap_or_near_sv,SV_Type,Length_SV,gene_name,expression,DEG_MSU_ID,Trait Class,FC_with_SV/without_SV,Average FPKM of genes with SV,Average FPKM of genes without SV,Distance_between_CNS_and_SV,Distance_between_CNS_and_DEG,Distance_between_CNS_and_callus_DHS,Distance_between_CNS_and_seedling_DHS,Distance_between_CNS_and_plantDHS,Distance_between_CNS_and_motif_TFBS,Distance_between_CNS_and_CE_TFBS,Distance_between_CNS_and_Fun_TFBS
1,30715,30734,Os01g0100800_cns001,SV20,INS,286,NA,up,LOC_Os01g01070,NA,1.293005223,14.97541429,11.58186682,1663,0,524,26,761,65,739,5138
1,30715,30734,Os01g0100800_cns001,SV22,INS,818,NA,up,LOC_Os01g01070,NA,1.293005223,14.97541429,11.58186682,1001,0,524,26,761,65,739,5138
1,30715,30734,Os01g0100800_cns001,SV24,DEL,108,NA,up,LOC_Os01g01070,NA,1.293005223,14.97541429,11.58186682,893,0,524,26,761,65,739,5138
1,31223,31257,Os01g0100800_cns002,SV22,INS,818,NA,up,LOC_Os01g01070,NA,1.293005223,14.97541429,11.58186682,1509,0,1032,312,1269,151,1247,4615
1,31223,31257,Os01g0100800_cns002,SV24,DEL,108,NA,up,LOC_Os01g01070,NA,1.293005223,14.97541429,11.58186682,1401,0,1032,312,1269,151,1247,4615
1,31488,31504,Os01g0100800_cns003,SV22,INS,818,NA,up,LOC_Os01g01070,NA,1.293005223,14.97541429,11.58186682,1774,0,1297,577,1534,25,1512,4368
1,31488,31504,Os01g0100800_cns003,SV24,DEL,108,NA,up,LOC_Os01g01070,NA,1.293005223,14.97541429,11.58186682,1666,0,1297,577,1534,25,1512,4368
1,31622,31694,Os01g0100800_cns004,SV22,INS,818,NA,up,LOC_Os01g01070,NA,1.293005223,14.97541429,11.58186682,1908,0,1431,711,1668,0,1646,4178
1,31622,31694,Os01g0100800_cns004,SV24,DEL,108,NA,up,LOC_Os01g01070,NA,1.293005223,14.97541429,11.58186682,1800,0,1431,711,1668,0,1646,4178
1,283557,283637,Os01g0105300_cns001,SV97,Undefined_DEL,3846,NA,down,LOC_Os01g01570,NA,0.213794115,1.993339231,9.323639375,527,4734,4563,4543,4355,0,5559,0
1,283557,283637,Os01g0105300_cns001,SV97,Undefined_DEL,3846,NA,down,LOC_Os01g01570,NA,0.231426074,1.102546214,4.76414,527,4734,4563,4543,4355,0,5559,0
1,283692,283739,Os01g0105300_cns002,SV97,Undefined_DEL,3846,NA,down,LOC_Os01g01570,NA,0.213794115,1.993339231,9.323639375,425,4632,4461,4441,4253,5,5457,14
1,283692,283739,Os01g0105300_cns002,SV97,Undefined_DEL,3846,NA,down,LOC_Os01g01570,NA,0.231426074,1.102546214,4.76414,425,4632,4461,4441,4253,5,5457,14
1,283767,283984,Os01g0105300_cns003,SV97,Undefined_DEL,3846,NA,down,LOC_Os01g01570,NA,0.213794115,1.993339231,9.323639375,180,4387,4216,4196,4008,0,5212,89
1,283767,283984,Os01g0105300_cns003,SV97,Undefined_DEL,3846,NA,down,LOC_Os01g01570,NA,0.231426074,1.102546214,4.76414,180,4387,4216,4196,4008,0,5212,89
1,289289,289323,Os01g0105300_cns004,SV97,Undefined_DEL,3846,NA,down,LOC_Os01g01570,NA,0.213794115,1.993339231,9.323639375,1279,0,938,958,836,57,57,3579
1,289289,289323,Os01g0105300_cns004,SV97,Undefined_DEL,3846,NA,down,LOC_Os01g01570,NA,0.231426074,1.102546214,4.76414,1279,0,938,958,836,57,57,3579
1,289412,289464,Os01g0105300_cns005,SV97,Undefined_DEL,3846,NA,down,LOC_Os01g01570,NA,0.213794115,1.993339231,9.323639375,1402,0,1061,1081,959,180,180,3438
1,289412,289464,Os01g0105300_cns005,SV97,Undefined_DEL,3846,NA,down,LOC_Os01g01570,NA,0.231426074,1.102546214,4.76414,1402,0,1061,1081,959,180,180,3438
1,289469,289577,Os01g0105300_cns006,SV97,Undefined_DEL,3846,NA,down,LOC_Os01g01570,NA,0.213794115,1.993339231,9.323639375,1459,0,1118,1138,1016,99,237,3325
1,289469,289577,Os01g0105300_cns006,SV97,Undefined_DEL,3846,NA,down,LOC_Os01g01570,NA,0.231426074,1.102546214,4.76414,1459,0,1118,1138,1016,99,237,3325
1,505316,505346,Os01g0109201_cns008,SV226,Undefined_DEL,1443,NA,up,LOC_Os01g01930,NA,4.670429218,0.7004327,0.149971805,1898,4040,154,5154,447,247,247,2126
1,505316,505346,Os01g0109201_cns008,SV226,Undefined_DEL,1443,NA,up,LOC_Os01g01930,NA,8.491962832,1.097516222,0.12924176,1898,4040,154,5154,447,247,247,2126
1,692739,692806,Os01g0112800_cns003,SV339,Undefined_DEL,16178,NA,up,LOC_Os01g02250,NA,24.82576401,0.011277887,4.54E-04,1972,0,2508,7088,4256,22,6396,229
1,692838,692985,Os01g0112800_cns004,SV339,Undefined_DEL,16178,NA,up,LOC_Os01g02250,NA,24.82576401,0.011277887,4.54E-04,1793,0,2607,7187,4355,0,6495,50
1,693041,693116,Os01g0112800_cns005,SV339,Undefined_DEL,16178,NA,up,LOC_Os01g02250,NA,24.82576401,0.011277887,4.54E-04,1662,0,2810,7390,4558,0,6698,0
1,693300,693325,Os01g0112800_cns006,SV339,Undefined_DEL,16178,NA,up,LOC_Os01g02250,NA,24.82576401,0.011277887,4.54E-04,1453,0,3069,7649,4817,0,6957,253
