"Orthogroup","V1","Entrez"
"OG0000005","NP_001004387","418308"
"OG0000008","NP_001001195","407779"
"OG0000010","XP_040512580","100857850"
"OG0000011","XP_003640366","426864"
"OG0000014","NP_001280211","395946"
"OG0000015","NP_001264280","416694"
"OG0000018","NP_001264901","121112081"
"OG0000018","NP_001264901","101750668"
"OG0000018","NP_001264901","100859790"
"OG0000018","NP_001264901","431316"
"OG0000018","NP_001264901","425362"
"OG0000018","NP_001264901","121112085"
"OG0000018","NP_001264901","121112086"
"OG0000018","NP_001264901","121112083"
"OG0000018","NP_001264901","121112084"
"OG0000018","NP_001264901","121112082"
"OG0000018","NP_001264901","121107562"
"OG0000018","NP_001264901","100857367"
"OG0000018","NP_001264901","100857270"
"OG0000018","NP_001264901","101751554"
"OG0000019","NP_001007825","415296"
"OG0000021","NP_001025924","417947"
"OG0000022","NP_001026653","100859629"
"OG0000022","NP_001026653","427887"
"OG0000023","NP_001254740","427851"
"OG0000025","NP_001380643","429800"
"OG0000026","XP_004950759","776507"
"OG0000028","NP_001004400","420883"
"OG0000030","NP_001155862","418752"
"OG0000031","NP_001380653","101747901"
"OG0000032","NP_001025549","404303"
"OG0000033","XP_024997911","121111929"
"OG0000033","XP_024997911","121111935"
"OG0000033","XP_024997911","121111925"
"OG0000033","XP_024997911","121107252"
"OG0000033","XP_024997911","121107222"
"OG0000033","XP_024997911","121107220"
"OG0000033","XP_024997911","121107219"
"OG0000033","XP_024997911","121107218"
"OG0000033","XP_024997911","121107206"
"OG0000033","XP_024997911","121107205"
"OG0000033","XP_024997911","121107203"
"OG0000033","XP_024997911","121107199"
"OG0000033","XP_024997911","121106516"
"OG0000033","XP_024997911","107057249"
"OG0000033","XP_024997911","107057195"
"OG0000033","XP_024997911","107051249"
"OG0000033","XP_024997911","107050025"
"OG0000033","XP_024997911","107049986"
"OG0000035","NP_001006289","419190"
"OG0000036","XP_003642370","769421"
"OG0000037","XP_004949238","427450"
"OG0000038","NP_001230519","418171"
"OG0000041","NP_001305362","771876"
"OG0000042","NP_001073182","396243"
"OG0000046","NP_001035732","417954"
"OG0000048","NP_001152843","427538"
"OG0000049","NP_001385171","421296"
"OG0000051","NP_989626","374175"
"OG0000052","XP_004934752","772019"
"OG0000055","NP_001001774","414893"
"OG0000056","XP_004941301","428769"
"OG0000057","NP_001158008","395176"
"OG0000058","XP_004941218","422635"
"OG0000059","NP_001376265","374022"
"OG0000060","NP_001006507","423970"
"OG0000061","NP_990576","396173"
"OG0000062","XP_004947614","419527"
"OG0000063","NP_001376401","416880"
"OG0000064","XP_004947049","419160"
"OG0000065","XP_015133675","395668"
"OG0000066","NP_001001758","414842"
"OG0000068","NP_990566","403158"
"OG0000069","XP_015141362","396515"
"OG0000070","NP_001006259","418595"
"OG0000071","NP_001103241","386579"
"OG0000072","NP_001038137","693249"
"OG0000074","NP_001103257","777583"
"OG0000076","XP_001233850","770511"
"OG0000077","NP_001161175","396288"
"OG0000080","NP_989581","374098"
"OG0000083","NP_001264688","121110032"
"OG0000083","NP_001264688","121110030"
"OG0000083","NP_001264688","121106490"
"OG0000083","NP_001264688","107052807"
"OG0000083","NP_001264688","107052804"
"OG0000083","NP_001264688","107052803"
"OG0000083","NP_001264688","100859039"
"OG0000084","XP_004950191","430496"
"OG0000087","NP_001026509","425389"
"OG0000090","NP_001348178","415906"
"OG0000091","XP_015148661","416112"
"OG0000092","NP_001026071","419628"
"OG0000093","XP_024998054","777252"
"OG0000094","NP_001074971","424980"
"OG0000096","XP_015133076","769469"
"OG0000097","NP_001074188","771663"
"OG0000098","NP_001382960","430270"
"OG0000100","XP_004935366","421342"
"OG0000101","NP_989910","395267"
"OG0000102","XP_025004411","418043"
"OG0000103","NP_001026080","419743"
"OG0000104","XP_004934926","419806"
"OG0000105","XP_025002671","419024"
"OG0000107","XP_015132216","374244"
"OG0000109","NP_001366269","770278"
"OG0000110","XP_015132806","427211"
"OG0000111","XP_003642915","770384"
"OG0000112","NP_001075166","416692"
"OG0000113","XP_001233169","423778"
"OG0000114","XP_004942102","423712"
"OG0000115","XP_040507934","419595"
"OG0000116","NP_001029041","416320"
"OG0000117","XP_015142358","423147"
"OG0000119","XP_040551695","420921"
"OG0000120","NP_001001311","408039"
"OG0000122","XP_001236760","100859740"
"OG0000124","NP_001376296","422173"
"OG0000125","NP_001244208","374153"
"OG0000126","NP_001006443","422546"
"OG0000127","NP_001006190","416872"
"OG0000128","XP_004949780","426874"
"OG0000129","NP_001006359","420617"
"OG0000130","XP_040511030","101748756"
"OG0000131","NP_001026733","429081"
"OG0000132","NP_989476","373945"
"OG0000133","NP_001026768","430997"
"OG0000134","NP_001188381","418044"
"OG0000135","XP_004937134","426889"
"OG0000136","NP_001014968","395679"
"OG0000137","NP_001012853","419402"
"OG0000138","NP_001025020","395869"
"OG0000139","XP_015154265","430126"
"OG0000140","NP_001186389","417690"
"OG0000141","XP_040509426","396375"
"OG0000142","NP_001376204","416115"
"OG0000143","XP_004938727","769506"
"OG0000144","NP_001383044","396291"
"OG0000145","XP_015150276","426991"
"OG0000146","NP_990605","396211"
"OG0000147","NP_001012596","422547"
"OG0000148","XP_004944760","427597"
"OG0000149","XP_015146920","418212"
"OG0000150","NP_001012886","421175"
"OG0000151","XP_024999368","777082"
"OG0000152","XP_015147420","373992"
"OG0000153","NP_001293081","395542"
"OG0000154","NP_001239052","428307"
"OG0000157","XP_004940778","422285"
"OG0000158","XP_004937983","100858230"
"OG0000159","XP_015135437","418992"
"OG0000160","NP_990609","396215"
"OG0000161","NP_001006686","423504"
"OG0000162","NP_001006476","423265"
"OG0000163","XP_003642935","425795"
"OG0000163","XP_003642935","420131"
"OG0000164","NP_001012567","419885"
"OG0000166","NP_989432","373889"
"OG0000168","XP_025000011","121109110"
"OG0000168","XP_025000011","107054995"
"OG0000168","XP_025000011","107049176"
"OG0000170","XP_004944654","416030"
"OG0000171","NP_001006459","422879"
"OG0000172","XP_015134339","415328"
"OG0000173","NP_001155844","419083"
"OG0000175","XP_015155133","420029"
"OG0000175","XP_015155133","420028"
"OG0000176","NP_001280026","423257"
"OG0000176","NP_001280026","395759"
"OG0000177","NP_001025508","374062"
"OG0000178","NP_990474","396048"
"OG0000179","NP_001376561","426881"
"OG0000180","NP_001294926","422322"
"OG0000181","NP_001007973","426544"
"OG0000182","XP_015145204","424188"
"OG0000183","NP_989729","378916"
"OG0000184","XP_004949117","427351"
"OG0000185","NP_990034","395441"
"OG0000186","NP_001006391","421145"
"OG0000187","XP_015155100","418489"
"OG0000188","XP_025007222","378890"
"OG0000189","NP_001383884","396035"
"OG0000190","NP_001026172","420897"
"OG0000191","XP_040552094","121110037"
"OG0000192","XP_015155454","100858997"
"OG0000193","NP_999839","427617"
"OG0000193","NP_999839","408051"
"OG0000194","NP_990363","395889"
"OG0000195","NP_001005827","415544"
"OG0000196","NP_001382968","769850"
"OG0000197","NP_001382966","396024"
"OG0000198","NP_001025849","417093"
"OG0000199","XP_015135032","417217"
"OG0000200","XP_040557603","107053416"
"OG0000201","XP_015154892","428275"
"OG0000202","XP_015155632","107055368"
"OG0000203","NP_001264808","427708"
"OG0000204","NP_001165209","419134"
"OG0000205","XP_024998451","100857108"
"OG0000206","NP_990656","396265"
"OG0000207","NP_001186537","423664"
"OG0000208","NP_001186354","421216"
"OG0000211","XP_004940124","768713"
"OG0000212","XP_004947938","419677"
"OG0000213","XP_004934603","427983"
"OG0000214","NP_990551","396143"
"OG0000220","XP_001234010","770670"
"OG0000221","XP_004943918","427508"
"OG0000223","NP_001186455","423641"
"OG0000225","NP_001108110","417336"
"OG0000226","NP_001007978","427308"
"OG0000227","XP_004935137","420807"
"OG0000228","XP_015140406","421899"
"OG0000233","XP_015134108","422360"
"OG0000234","NP_001026211","421306"
"OG0000235","NP_001185904","395398"
"OG0000236","NP_001026598","427262"
"OG0000237","NP_989867","395213"
"OG0000238","NP_001258903","396446"
"OG0000239","NP_990815","396477"
"OG0000240","XP_015157682","121107213"
"OG0000240","XP_015157682","121106547"
"OG0000240","XP_015157682","107057175"
"OG0000243","XP_003642855","100858293"
"OG0000244","NP_001012915","423114"
"OG0000245","NP_001161216","396508"
"OG0000246","XP_003641622","424048"
"OG0000247","NP_001280234","408046"
"OG0000248","NP_001026205","421248"
"OG0000249","NP_001026582","427021"
"OG0000250","NP_001161855","422971"
"OG0000251","XP_004948661","100857659"
"OG0000252","NP_001366187","421702"
"OG0000253","XP_003640390","768655"
"OG0000254","NP_001264817","100857579"
"OG0000257","XP_040509994","112531052"
"OG0000258","XP_025010638","416354"
"OG0000259","NP_001026053","419514"
"OG0000260","NP_990291","395806"
"OG0000261","XP_004949328","415602"
